"TEXT","TEXT","TEXT","DATE","DATE","TEXT","TEXT"
"first_name","last_name","email","dob","since","customerid","country"
"Kanh","Bell","mbellpz@intel.com","2004-02-09","2023-11-29","KanhB2004","Singapore"
"Eric","Jordan","ejordani@spiegel.de","1996-07-28","2023-08-10","EJordan1996","Malaysia"
"Keith","Stanley","kstanley70@cbc.ca","2004-11-20","2023-10-10","KeithS2004","Indonesia"
"Jean","Lee","jleeix@myspace.com","2002-04-27","2024-01-16","LJean02","Singapore"
"Rebecca","Ooi","rooir5@csmonitor.com","1998-07-02","2023-11-21","ORebecca98","Malaysia"
"Joseph","Mao","jmaor6@bizjournals.com","1996-10-15","2023-09-15","MaoJ1996","Singapore"
"Kevin","Singh","ksingh3k@apache.org","2002-01-20","2023-07-17","SinghK02","Malaysia"
"Kenneth","Ortiz","kortiz3m@diigo.com","2000-07-13","2023-12-12","OKenneth2000","Thailand"
"Beverly","Carroll","bcarroll3n@infoseek.co.jp","2005-06-28","2024-04-22","BeverlyC05","Indonesia"
"Louise","Torres","ltorres3o@parallels.com","1995-02-18","2024-04-02","LouiseT","Malaysia"
"Michael","Morris","mmorris3p@chronoengine.com","2006-11-30","2024-01-14","MichaelM06","Singapore"
"Rachel","Rice","rrice3q@hexun.com","2009-07-23","2024-02-29","RRachel09","Singapore"
"Dennis","Morales","dmorales5x@microsoft.com","2004-05-11","2023-07-20","DennisM","Indonesia"
"Marilyn","Howell","mhowell5y@indiatimes.com","2011-04-03","2023-09-26","MarilynH2011","Vietnam"
"Pamela","Black","pblack8a@unc.edu","1994-02-26","2023-09-24","BPamela1994","Singapore"
"Rebecca","Ray","rray8b@blogtalkradio.com","1998-10-01","2024-06-21","RayR1998","Singapore"
"Charles","Shaw","cshaw8c@umich.edu","2011-08-15","2023-11-10","CharlesS","Thailand"
"Alan","Richards","arichards8d@intel.com","1995-03-09","2024-06-01","RichardsA","Singapore"
"Samuel","Bailey","sbaileyan@toplist.cz","2010-10-31","2024-04-16","BaileyS","Indonesia"
"Kelly","Bradley","kbradleyd0@businessweek.com","1996-06-08","2024-02-29","BKelly","Malaysia"
"Janice","Graham","jgrahamd1@soup.io","2004-09-12","2023-10-28","GrahamJ04","Indonesia"
"Marilyn","Black","mblackd2@360.cn","1997-08-30","2023-11-02","BMarilyn97","Singapore"
"James","Goh","jgohd5@europa.eu","2007-04-19","2024-02-25","GJames07","Malaysia"
"Denise","Hayes","dhayesj@amazonaws.com","2001-10-03","2024-01-30","HDenise","Indonesia"
"Douglas","George","dgeorgek@behance.net","2008-11-22","2023-09-27","GDouglas","Singapore"
"Terry","Murray","tmurrayl@ycombinator.com","2011-05-03","2024-03-19","MTerry2011","Singapore"
"Tammy","Alvarez","talvarezm@soundcloud.com","2003-09-14","2023-07-27","TAlvarez2003","Singapore"
"Jennifer","Lee","jleen@mlb.com","2000-09-10","2023-11-12","LJennifer2000","Singapore"
"Janice","Burns","jburnsp@youku.com","2008-10-25","2024-06-28","BJanice","Singapore"
"Joshua","Dean","jdeanr@reverbnation.com","2000-06-27","2023-12-18","DJoshua2000","Indonesia"
"Howard","Richards","hrichardss@boston.com","2004-09-03","2024-04-24","RichardsH2004","Malaysia"
"Amy","Webb","awebbt@fastcompany.com","2007-10-11","2024-02-28","AWebb2007","Indonesia"
"Joshua","Rose","jroseu@biblegateway.com","2006-08-05","2024-02-21","RJoshua2006","Vietnam"
"Jessica","Carr","jcarrv@marriott.com","2012-02-27","2023-11-02","CJessica12","Vietnam"
"Alan","Johnson","ajohnsonw@guardian.co.uk","2002-11-20","2024-02-25","JohnsonA","Malaysia"
